所在地,院士,硕士点,类型,重点学科,博士点,是否为985,是否为211,是否自主招生,平均线
泰安,0,0,综合,1,0,否,否,否,539
长沙,0,0,财经,4,0,否,否,否,506
天津,0,4,农业,0,0,否,否,否,509
哈尔滨,0,0,工科,0,0,否,否,否,558
贵阳,0,0,医药,0,0,否,否,否,538
南京,1,44,工科,4,17,否,否,是,545
太原,0,0,工科,0,0,否,否,否,561
保定,0,0,师范,0,0,否,否,否,543
商洛,1,0,综合,0,0,否,否,否,565
武汉,0,0,工科,0,0,否,否,否,474
汕头,1,94,综合,1,26,否,否,否,554
广州,33,204,工科,7,110,是,是,是,596
大连,0,0,工科,0,0,否,否,否,473
哈尔滨,0,3,体育,3,0,否,否,否,551
金华,0,0,综合,0,0,否,否,否,548
宁波,0,0,工科,1,0,否,否,否,561
昆明,24,185,工科,54,49,否,否,否,506
遵义,1,17,医药,8,0,否,否,否,549
南宁,0,45,医药,6,0,否,否,否,540
梧州,0,0,综合,0,0,否,否,否,548
九江,3,0,综合,18,0,否,否,否,423
成都,0,100,民族,7,7,否,否,否,502
洛阳,0,0,综合,0,0,否,否,否,557
广州,9,200,师范,4,100,否,是,否,534
重庆,0,0,财经,0,0,否,否,否,538
武汉,0,7,艺术,4,0,否,否,否,556
北海,0,0,综合,0,0,否,否,否,550
郑州,0,0,财经,0,0,否,否,否,549
廊坊,0,0,综合,0,0,否,否,否,485
香港,0,0,综合,0,0,否,否,否,536
呼伦贝尔,0,0,综合,7,0,否,否,否,539
武汉,0,92,工科,17,5,否,否,否,557
咸阳,0,0,工科,0,0,否,否,否,549
合肥,0,0,工科,0,0,否,否,否,483
天津,0,0,体育,0,0,否,否,否,561
鞍山,0,0,师范,0,0,否,否,否,545
南宁,0,0,财经,0,0,否,否,否,562
赣州,0,0,师范,0,0,否,否,否,554
齐齐哈尔,0,0,医药,3,0,否,否,否,500
苏州,0,0,综合,0,0,否,否,否,552
南宁,0,47,医药,11,9,否,否,否,532
四平,1,80,师范,5,0,否,否,否,507
贵阳,0,0,医药,0,0,否,否,否,551
景德镇,0,0,工科,0,0,否,否,否,555
武汉,0,0,艺术,1,0,否,否,否,544
佛山,0,0,综合,0,0,否,否,否,557
济南,0,0,综合,0,0,否,否,否,548
商丘,0,0,师范,0,0,否,否,否,568
福州,0,42,医药,0,15,否,否,否,554
广州,0,90,工科,0,31,否,否,否,565
徐州,13,35,工科,9,16,否,是,否,572
淮北,2,76,师范,0,0,否,否,否,546
泰安,0,0,综合,0,0,否,否,否,539
衡阳,0,0,师范,0,0,否,否,否,543
沈阳,0,0,艺术,0,0,否,否,否,533
雅安,2,73,农业,0,32,否,是,否,548
长沙,0,0,财经,0,0,否,否,否,540
咸阳,0,18,医药,3,0,否,否,否,534
烟台,13,20,综合,0,1,否,否,否,510
石家庄,0,0,财经,0,0,否,否,否,471
北京,0,26,工科,0,0,否,否,否,568
广州,0,24,医药,6,19,否,否,否,588
南京,0,0,综合,0,0,否,否,否,534
哈尔滨,0,0,农业,0,0,否,否,否,560
南宁,0,42,民族,5,0,否,否,否,551
长沙,3,99,农业,2,50,否,否,否,533
赣州,1,65,工科,12,0,否,否,否,550
彭山,0,0,综合,0,0,否,否,否,552
泰安,0,0,综合,0,0,否,否,否,553
福州,0,0,农业,0,0,否,否,否,532
合肥,1,74,医药,12,26,否,否,否,526
重庆,3,256,综合,20,133,是,是,是,618
太原,0,0,工科,0,0,否,否,否,543
荆州,0,46,工科,0,3,否,否,否,545
十堰,0,0,医药,8,0,否,否,否,505
常德,0,0,综合,4,0,否,否,否,559
北京,3,26,工科,0,0,否,否,否,519
昆明,0,0,医药,0,0,否,否,否,482
桂林,0,0,综合,0,0,否,否,否,546
合肥,0,0,师范,0,0,否,否,否,548
梅州,3,0,综合,0,0,否,否,否,540
长春,0,5,艺术,0,0,否,否,否,566
常州,0,0,师范,0,0,否,否,否,542
邯郸,0,0,工科,0,0,否,否,否,471
玉溪,0,0,师范,0,0,否,否,否,556
乌兰察布,0,0,综合,0,0,否,否,否,552
武汉,6,150,工科,3,70,否,是,否,556
秦皇岛,0,0,工科,0,0,是,是,否,568
西安,8,177,综合,6,95,否,是,是,531
长春,12,151,师范,4,111,否,是,否,589
张家口,0,0,工科,2,0,否,否,否,502
银川,0,0,综合,0,0,否,否,否,557
南京,0,0,综合,0,0,否,否,否,516
郑州,14,80,农业,3,29,否,否,否,554
唐山,2,0,工科,0,0,否,否,否,549
天津,0,0,综合,0,0,否,否,否,476
兰州,0,0,工科,0,0,否,否,否,564
南京,12,124,工科,3,38,否,是,否,567
哈尔滨,0,154,师范,10,47,否,否,否,508
临汾,0,0,师范,0,0,否,否,否,535
孝感,0,0,工科,0,0,否,否,否,544
长沙,0,0,财经,0,0,否,否,否,553
哈尔滨,33,147,工科,15,81,是,是,否,600
益阳,0,0,综合,2,0,否,否,否,546
晋中,0,0,农业,0,0,否,否,否,557
北京,9,118,工科,5,37,否,是,否,598
北京,0,0,艺术,1,3,否,否,否,556
广州,5,98,医药,3,75,否,否,否,587
黄冈,0,14,师范,0,0,否,否,否,541
北京,0,10,体育,4,3,否,是,否,573
沈阳,0,0,综合,0,0,否,否,否,553
南京,9,116,工科,6,18,否,是,是,595
泸州,0,0,政法,0,0,否,否,否,548
西安,10,246,师范,4,118,否,是,否,580
苏州,0,0,综合,0,0,否,否,否,545
广州,0,0,综合,0,0,否,否,否,568
南充,0,35,师范,7,4,否,否,否,551
杭州,2,35,工科,11,0,否,否,否,504
南宁,0,0,工科,0,0,否,否,否,537
开封,0,0,财经,0,0,否,否,否,556
北京,5,109,师范,33,41,否,否,否,602
赤峰,0,0,综合,0,0,否,否,否,551
西昌,0,0,综合,0,0,否,否,否,539
兰州,0,0,政法,0,0,否,否,否,541
西安,0,92,工科,1,28,否,否,否,502
武汉,0,104,民族,13,7,否,否,否,520
昆明,0,181,综合,41,57,否,是,是,528
五指山,0,0,综合,0,0,否,否,否,552
哈尔滨,1,49,医药,2,45,否,否,否,537
重庆,9,25,师范,0,0,否,否,否,511
北京,0,18,语言,4,11,否,是,否,671
镇江,7,170,综合,2,42,否,否,否,569
广州,0,0,工科,0,0,否,否,否,553
包头,0,67,综合,0,0,否,否,否,560
哈尔滨,1,52,工科,25,17,否,否,否,509
沈阳,2,59,师范,9,0,否,否,否,549
南京,0,0,工科,0,0,否,否,否,477
成都,0,0,财经,0,0,否,否,否,473
北京,17,38,工科,36,21,是,是,否,582
泰州,0,0,工科,0,0,否,否,否,552
保定,0,0,综合,0,0,否,否,否,478
厦门,21,279,综合,14,185,是,是,是,650
